URL,Dinosaur,Height,Weight
https://en.wikipedia.org/wiki/Abydosaurus,Abydosaurus,-,-
https://en.wikipedia.org/wiki/Acantholipan,Acantholipan,-,-
https://en.wikipedia.org/wiki/Acanthopholis,Acanthopholis,-,-
https://en.wikipedia.org/wiki/Achelousaurus,Achelousaurus,-,-
https://en.wikipedia.org/wiki/Acheroraptor,Acheroraptor,-,-
https://en.wikipedia.org/wiki/Achillesaurus,Achillesaurus,-,-
https://en.wikipedia.org/wiki/Achillobator,Achillobator,-,-
https://en.wikipedia.org/wiki/Acristavus,Acristavus,-,-
https://en.wikipedia.org/wiki/Acrocanthosaurus,Acrocanthosaurus,-,-
https://en.wikipedia.org/wiki/Allosaurus,Allosaurus,"['5 meters', '7 meters']",-
https://en.wikipedia.org/wiki/Acrotholus,Acrotholus,-,-
https://en.wikipedia.org/wiki/Actiosaurus,Actiosaurus,-,-
https://en.wikipedia.org/wiki/Choristoderan,choristoderan,-,-
https://en.wikipedia.org/wiki/Adamantisaurus,Adamantisaurus,"['13 meters', '18 meters']","['5 tonnes', '4 tonnes']"
https://en.wikipedia.org/wiki/Adasaurus,Adasaurus,-,-
https://en.wikipedia.org/wiki/Adelolophus,Adelolophus,-,-
https://en.wikipedia.org/wiki/Adeopapposaurus,Adeopapposaurus,-,-
https://en.wikipedia.org/wiki/Adratiklit,Adratiklit,-,-
https://en.wikipedia.org/wiki/Adynomosaurus,Adynomosaurus,-,-
https://en.wikipedia.org/wiki/Aegyptosaurus,Aegyptosaurus,-,-
https://en.wikipedia.org/wiki/Aeolosaurus,Aeolosaurus,-,-
https://en.wikipedia.org/wiki/Aepisaurus,Aepisaurus,-,-
https://en.wikipedia.org/wiki/Aepyornithomimus,Aepyornithomimus,-,-
https://en.wikipedia.org/wiki/Aerosteon,Aerosteon,-,-
https://en.wikipedia.org/wiki/Aetonyx,Aetonyx,-,-
https://en.wikipedia.org/wiki/Massospondylus,Massospondylus,-,-
https://en.wikipedia.org/wiki/Afromimus,Afromimus,-,-
https://en.wikipedia.org/wiki/Afrovenator,Afrovenator,-,-
https://en.wikipedia.org/wiki/Agathaumas,Agathaumas,-,-
https://en.wikipedia.org/wiki/Triceratops,Triceratops,-,-
https://en.wikipedia.org/wiki/Aggiosaurus,Aggiosaurus,-,-
https://en.wikipedia.org/wiki/Metriorhynchid,metriorhynchid,-,-
https://en.wikipedia.org/wiki/Agilisaurus,Agilisaurus,-,-
